Name	Description	Source	Format	Template	Tag	Length
Issuer Public Key Certificate	Issuer public key certified by a certification authority	ICC	b	70 or 77	90	NCA
Issuer Public Key Exponent	Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate	ICC	b	70 or 77	9F32	1 to 3
Issuer Public Key Remainder	Remaining digits of the Issuer Public Key Modulus	ICC	b	70 or 77	92	NI − NCA + 36
Issuer Script Command	Contains a command for transmission to the ICC	Issuer	b	71 or 72	86	var. up to 261
Issuer Script Identifier	Identification of the Issuer Script	Issuer	b	71 or 72	9F18	4
Issuer Script Results	Indicates the result of the terminal script processing	Terminal	b	—	—	var.
Issuer Script Template 1	Contains proprietary issuer data for transmission to the ICC before the second GENERATE AC command	Issuer	b	—	71	var.
Issuer Script Template 2	Contains proprietary issuer data for transmission to the ICC after the second GENERATE AC command	Issuer	b	—	72	var.
Issuer URL	The URL provides the location of the Issuer’s Library Server on the Internet.	ICC	ans	BF0C or 73	5F50	var.
Language Preference	1-4 languages stored in order of preference, each represented by 2 alphabetical characters according to ISO 639 Note: EMVCo strongly recommends that cards be personalised with data element 5F2D coded in lowercase, but that terminals accept the data element whether it is coded in upper or lower case.	ICC	an 2	A5	5F2D	2-8
Last Online Application Transaction Counter (ATC) Register	ATC value of the last transaction that went online	ICC	b	—	9F13	2
Log Entry	Provides the SFI of the Transaction Log file and its number of records	ICC	b	BF0C or 73	9F4D	2
Log Format	List (in tag and length format) of data objects representing the logged data elements that are passed to the terminal when a transaction log record is read	ICC	b	—	9F4F	var.
Lower Consecutive Offline Limit	Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal with online capability	ICC	b	70 or 77	9F14	1
Maximum Target Percentage to be used for Biased Random Selection	Value used in terminal risk management for random transaction selection	Terminal	—	—	—	—
Merchant Category Code	Classifies the type of business being done by the merchant, represented according to ISO 8583:1993 for Card Acceptor Business Code	Terminal	n 4	—	9F15	2
Merchant Identifier	When concatenated with the Acquirer Identifier, uniquely identifies a given merchant	Terminal	ans 15	—	9F16	15
Merchant Name and Location	Indicates the name and location of the merchant	Terminal	ans	—	9F4E	var.
Message Type	Indicates whether the batch data capture record is a financial record or advice	Terminal	n 2	—	—	1
Personal Identification Number (PIN) Pad Secret Key	Secret key of a symmetric algorithm used by the PIN pad to encipher the PIN and by the card reader to decipher the PIN if the PIN pad and card reader are not integrated	Terminal	—	—	—	—
Personal Identification Number (PIN) Try Counter	Number of PIN tries remaining	ICC	b	—	9F17	1
Point-of-Service (POS) Entry Mode	Indicates the method by which the PAN was entered, according to the first two digits of the ISO 8583:1987 POS Entry Mode	Terminal	n 2	—	9F39	1
Processing Options Data Object List (PDOL)	Contains a list of terminal resident data objects (tags and lengths) needed by the ICC in processing the GET PROCESSING OPTIONS command	ICC	b	A5	9F38	var.
Proprietary Authentication Data	Contains issuer data for transmission to the card in the Issuer Authentication Data of an online transaction.	Issuer	b	—	—	var. up to 8
READ RECORD Response Message Template	Contains the contents of the record read. (Mandatory for SFIs 1-10. Response messages for SFIs 11-30 are outside the scope of EMV, but may use template 70)	ICC	var.	—	70	var. up to 252
Response Message Template Format 1	Contains the data objects (without tags and lengths) returned by the ICC in response to a command	ICC	var.	—	80	var.
Response Message Template Format 2	Contains the data objects (with tags and lengths) returned by the ICC in response to a command	ICC	var.	—	77	var.
Service Code	Service code as defined in ISO/IEC 7813 for track 1 and track 2	ICC	n 3	70 or 77	5F30	2
Short File Identifier (SFI)	Identifies the AEF referenced in commands related to a given ADF or DDF. It is a binary data object having a value in the range 1 to 30 and with the three high order bits set to zero.	ICC	b	A5	88	1
Signed Dynamic Application Data	Digital signature on critical application parameters for DDA or CDA	ICC	b	77 or 80	9F4B	NIC
Signed Static Application Data	Digital signature on critical application parameters for SDA	ICC	b	70 or 77	93	NI
Static Data Authentication Tag List	List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data	ICC	—	70 or 77	9F4A	var.
Target Percentage to be Used for Random Selection	Value used in terminal risk management for random transaction selection	Terminal	—	—	—	—
Terminal Action Code - Default	Specifies the acquirer’s conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online	Terminal	b	—	—	5
Terminal Action Code - Denial	Specifies the acquirer’s conditions that cause the denial of a transaction without attempt to go online	Terminal	b	—	—	5
Terminal Action Code - Online	Specifies the acquirer’s conditions that cause a transaction to be transmitted online	Terminal	b	—	—	5
Terminal Capabilities	Indicates the card data input, CVM, and security capabilities of the terminal	Terminal	b	—	9F33	3
Terminal Country Code	Indicates the country of the terminal, represented according to ISO 3166	Terminal	n 3	—	9F1A	2
Terminal Floor Limit	Indicates the floor limit in the terminal in conjunction with the AID	Terminal	b	—	9F1B	4
Terminal Identification	Designates the unique location of a terminal at a merchant	Terminal	an 8	—	9F1C	8
Terminal Risk Management Data	Application-specific value used by the card for risk management purposes	Terminal	b	—	9F1D	1-8
Terminal Type	Indicates the environment of the terminal, its communications capability, and its operational control	Terminal	n 2	—	9F35	1
Terminal Verification Results	Status of the different functions as seen from the terminal	Terminal	b	—	95	5
Threshold Value for Biased Random Selection	Value used in terminal risk management for random transaction selection	Terminal	—	—	—	—
Track 1 Discretionary Data	Discretionary part of track 1 according to ISO/IEC 7813	ICC	ans	70 or 77	9F1F	var.
Track 2 Discretionary Data	Discretionary part of track 2 according to ISO/IEC 7813	ICC	cn	70 or 77	9F20	var.
Track 2 Equivalent Data	Contains the data elements of track 2 according to ISO/IEC 7813, excluding start sentinel, end sentinel, and Longitudinal Redundancy Check (LRC), as follows: Primary Account Number Field Separator (Hex D) Expiration Date (YYMM) Service Code Discretionary Data (defined by individual payment systems) Pad with one Hex F if needed to ensure whole bytes	ICC	b n, var. up to 19 b n 4 n 3 n, var. b	70 or 77	57	var. up to 19
Transaction Amount	Clearing amount of the transaction, including tips and other adjustments	Terminal	n 12	—	—	6
Transaction Certificate Data Object List (TDOL)	List of data objects (tag and length) to be used by the terminal in generating the TC Hash Value	ICC	b	70 or 77	97	var. up to 252
Transaction Certificate (TC) Hash Value	Result of a hash function specified in Book 2, Annex B3.1	Terminal	b	—	98	20
Transaction Currency Code	Indicates the currency code of the transaction according to ISO 4217	Terminal	n 3	—	5F2A	2
Transaction Currency Exponent	Indicates the implied position of the decimal point from the right of the transaction amount represented according to ISO 4217	Terminal	n 1	—	5F36	1
Transaction Date	Local date that the transaction was authorised	Terminal	n 6 YYMMDD	—	9A	3
Transaction Personal Identification Number (PIN) Data	Data entered by the cardholder for the purpose of the PIN verification	Terminal	b	—	99	var.
Transaction Reference Currency Code	Code defining the common currency used by the terminal in case the Transaction Currency Code is different from the Application Currency Code	Terminal	n 3	—	9F3C	2
Transaction Reference Currency Conversion	Factor used in the conversion from the Transaction Currency Code to the Transaction Reference Currency Code	Terminal	n 8	—	—	4
Transaction Reference Currency Exponent	Indicates the implied position of the decimal point from the right of the transaction amount, with the Transaction Reference Currency Code represented according to ISO 4217	Terminal	n 1	—	9F3D	1
Transaction Sequence Counter	Counter maintained by the terminal that is incremented by one for each transaction	Terminal	n 4-8	—	9F41	2-4
Transaction Status Information	Indicates the functions performed in a transaction	Terminal	b	—	9B	2
Transaction Time	Local time that the transaction was authorised	Terminal	n 6 HHMMSS	—	9F21	3
Transaction Type	Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1987 Processing Code. The actual values to be used for the Transaction Type data element are defined by the relevant payment system	Terminal	n 2	—	9C	1
Unpredictable Number	Value to provide variability and uniqueness to the generation of a cryptogram	Terminal	b	—	9F37	4
Upper Consecutive Offline Limit	Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal without online capability	ICC	b	70 or 77	9F23	1
